dataId,data,time,src
129,[0.0036],0,2
6,[0.005738481732103819],0,2
3,"[0.9691128390394623, 0.011598566272106228, 0.011116066633575736, 0.013518737416617086]",0,3
128,[119.99996921302994],0,3
7,[0.0],0,3
4,"[0.004899215003156435, 0.004241085555530053, 0.003986494357643152, 0.003990451116448003, 0.005430363830240148, 0.002235147993108551, 0.004087476794820677, 0.0052095247901368805, 0.006045038860465571, 0.004893781835970973, 0.004359569609573029, 0.005185054805301863, 0.0034594303795430987, 0.004095216928157444, 0.0041132763970330695, 0.003591784709926571, 0.002275565726253862, 0.002606025903278629, 0.0065413656319449134, 0.006507462717003156, 0.004891880772666017, 0.004645810139246278, 0.005703612099205105, 0.004359303391725431, 0.0041305814360699114, 0.0026429222193564026, 0.005137098942210415, 0.0026669915513510807, 0.005426032813119036, 0.003850489077267223, 0.005709522065782, 0.001836711954172002, 0.0021825632646906385, 0.0038233305951548987, 0.003133458032021191, 0.005006573781115432, 0.0045550164866326945, 0.004489066106436664, 0.00386721359219841, 0.0033154556816832087, 0.0029008472584385564, 0.0035789542979835576, 0.003656042835120651, 0.003802128292629419, 0.003340693870474993, 0.003992940412215184, 0.003167901213282551, 0.00439118364706344, 0.0036000208782436525, 0.005163932306875023]",0,4
5,"[0.004899215003156435, 0.004241085555530053, 0.003986494357643152, 0.003990451116448003, 0.005430363830240148, 0.002235147993108551, 0.004087476794820677, 0.0052095247901368805, 0.006045038860465571, 0.004893781835970973, 0.004359569609573029, 0.005185054805301863, 0.0034594303795430987, 0.004095216928157444, 0.0041132763970330695, 0.003591784709926571, 0.002275565726253862, 0.002606025903278629, 0.0065413656319449134, 0.006507462717003156, 0.004891880772666017, 0.004645810139246278, 0.005703612099205105, 0.004359303391725431, 0.0041305814360699114, 0.0026429222193564026, 0.005137098942210415, 0.0026669915513510807, 0.005426032813119036, 0.003850489077267223, 0.005709522065782, 0.001836711954172002, 0.0021825632646906385, 0.0038233305951548987, 0.003133458032021191, 0.005006573781115432, 0.0045550164866326945, 0.004489066106436664, 0.00386721359219841, 0.0033154556816832087, 0.0029008472584385564, 0.0035789542979835576, 0.003656042835120651, 0.003802128292629419, 0.003340693870474993, 0.003992940412215184, 0.003167901213282551, 0.00439118364706344, 0.0036000208782436525, 0.005163932306875023]",0,4
3,"[0.9751427151931128, 0.01215439870886212, 0.007489435199162072, 0.010645093761894603]",1,3
128,[119.99997841083884],1,3
7,[0.0],1,3
5,"[0.004991149142420701, 0.006156260199001622, 0.00644766857266596, 0.008741454673361694, 0.0070091466641282706, 0.004990030844833582, 0.005803199485519372, 0.004832432040779763, 0.007314341337478237, 0.005264894775069575, 0.00915003378263228, 0.004716546266190369, 0.007363684899603315, 0.0040592026168293615, 0.007008223692622883, 0.008636686004731595, 0.00814466391922409, 0.009923541849395555, 0.009863776543033588, 0.005156667727218563, 0.006867411039349077, 0.0038586402271404106, 0.004191435489404014, 0.008062848282790516, 0.007975711544595275, 0.005862239280167484, 0.00828012110665895, 0.003978388856995723, 0.00845044427689848, 0.006076293027794262, 0.006107226392072113, 0.008034926672989615, 0.005030389658558798, 0.0053108863255667115, 0.007168608830799645, 0.007438061044686384, 0.008880327320154157, 0.00645963128121456, 0.00603898594479567, 0.0076922187466619465, 0.004926520455992857, 0.0035827560881442635, 0.006185905173578929, 0.006234148604163293, 0.006189468074643811, 0.0063918808548535854, 0.0067658051277113464, 0.005321567905329455, 0.003954935990367573, 0.007993794095162977]",1,4
